InvoiceNo,InvoiceDate,ProductNo,Quantity,Unit,ProductName,PackSize,ChemicalName
1,01/1/2015,85,2,stp,Cardivas 6.25,10 tab * 3 stp * box,Carvedilol
1,01/1/2015,22,1,stp,Amlosun 5,10 tab * 10 stp * box,Amlodipine
1,01/1/2015,269,1,stp,Maxolon,25 tab * 4 stp * box,Metoclopramide
1,01/1/2015,101,2,stp,Repace 50,10 tab * 10 stp * box,Losartan Potassium
1,01/1/2015,452,1,bot,???????? ???,10 bot * pack,Myanmar anti-Inflammatory
1,01/1/2015,229,2,box,Metro-250(Umedica),10 tab * 10 stp * box,Metronidazole
1,01/1/2015,86,2,stp,Cardivas 12.5,10 tab * 10 stp * box,Carvedilol
1,01/1/2015,123,1,stp,Avas 10,10 tab * 3 stp * box,Atorvastatin
1,01/1/2015,111,1,stp,Clopilet,10 tab * 3 stp * box,Clopidogrel
1,01/1/2015,162,1,bot,Cevit Pol,100 tab * bot,ascorbic acid
1,01/1/2015,75,20,tab,Centrum Silver,285 tab * bot,Multivitamins and Minerals
2,01/1/2015,548,5,tab,Vertinil,10 tab * 20 stp * box,Cinnarizine
2,01/1/2015,549,2,sac,Mybacin Pack,70 sac * pack,Lozenges
2,01/1/2015,295,1,stp,Dolfenal 500,4 tab * 25 stp * box,Mefenamic Acid
4,01/1/2015,354,4,pcs,Urgo Plaster Transparent,100 pcs * box,Plaster
4,01/1/2015,267,1,stp,Dramamine ????,10 tab * 10 stp * box,Dimenhydrinate
4,01/1/2015,229,1,stp,Metro-250(Umedica),10 tab * 10 stp * box,Metronidazole
5,01/1/2015,379,1,bot,?????? ???????,6 bot * 2 pack * dz,Balm
5,01/1/2015,8,1,box,Appeton Teen Grow,10 tab * 3 stp * box,Multivitamins and Minerals
3,01/1/2015,410,1,bot,??????? ????????????????,12 bot * dz,Myanmar Heart Supplement
3,01/1/2015,11,2,stp,LivUp,30 tab * 5 stp * box,Liver Protect
3,01/1/2015,226,3,stp,Norfloxin 400(Umedica),10 tab * 10 stp * box,Norfloxacin
3,01/1/2015,83,3,stp,Amaten 50,10 tab * 10 stp * box,Atenolol 
3,01/1/2015,533,3,stp,Aldactone Red 15's,15 tab * stp,Spironolactone
3,01/1/2015,286,3,stp,Lefra 20,10 tab * 5 stp * box,Lelunimode
3,01/1/2015,155,3,stp,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
3,01/1/2015,115,1,bot,Calcivita Forte,30 cap * bot,Calcium with Vitamin D3
3,01/1/2015,213,1,stp,Decolgen Forte,10 tab * 10 stp * box,Acetaminophen
3,01/1/2015,213,1,tab,Decolgen Forte,10 tab * 10 stp * box,Acetaminophen
3,01/1/2015,108,1,stp,Coralan 5,14 tab * 4 stp * box,Ivabradine
3,01/1/2015,86,1,stp,Cardivas 12.5,10 tab * 10 stp * box,Carvedilol
3,01/1/2015,309,5,stp,Kremil S pink,4 tab * 25 stp * box,Aluminium Hydroxide and Simethicone
3,01/1/2015,175,1,stp,Pantocid 20,10 tab * 10 stp * box,Pantoprazole
3,01/1/2015,354,2,pcs,Urgo Plaster Transparent,100 pcs * box,Plaster
3,01/1/2015,460,1,bot,????????? ?????????????,12 bot * dz,Myanmar Balm
3,01/1/2015,549,1,sac,Mybacin Pack,70 sac * pack,Lozenges
3,01/1/2015,550,1,stp,FamyCare,stp,levonorgestrel
3,01/1/2015,535,2,stp,Brulexin 500,10 cap * 10 stp * box,Cephalexin
3,01/1/2015,205,2,stp,Sofkof,10 cap * 10 stp * box,Cough tablet with Chlopheniramine 
3,01/1/2015,208,2,stp,Solvin Tablet,10 tab * 10 stp * box,Bromhexine
3,01/1/2015,256,2,stp,Alaxan Tab,10 tab * 10 stp * box,Ibuprofen and Paracetamol
3,01/1/2015,57,10,tab,Enervon-C 100's,100 tab * bot,B complex with C
3,01/1/2015,302,2,stp,Loratidine We Care,10 tab * 10 stp * box,Loratadine
3,01/1/2015,85,1,stp,Cardivas 6.25,10 tab * 3 stp * box,Carvedilol
3,01/1/2015,272,1,stp,Stemetil tab,20 tab * stp,Prochlorperazine
3,01/1/2015,220,1,tab,Vicks,105 tab * bot,Cough Tablet
3,01/1/2015,51,2,stp,Zeptol 200,10 tab * 10 stp * box,Carbamazapine
3,01/1/2015,440,1,bot,???????????? ??????? ??????,6 bot * 2 pack * dz,Myanmar Analgesic
3,01/1/2015,387,5,sac,????????? ?????? ????,10 sac * 12 pack * 2ndPack,Myanmar Digestive
3,01/1/2015,409,2,sac,????????? ???????????,20 sac * pack,Myanmar Analgesic
3,01/1/2015,448,1,bot,??????? ????????????????????????,12 bot * dz,Myanmar Supplement
3,01/1/2015,551,1,bot,??????? ???????????,12 bot * dz,Myanmar Luxative
3,01/1/2015,155,1,box,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
3,01/1/2015,375,1,pack,Tiger Balm Plaster Cool 10cm x 14cm,3 sheet * 12 pack * box,Plaster
3,01/1/2015,261,1,stp,Biogesic Tab,10 tab * 50 stp * box,Paracetamol
3,01/1/2015,248,1,stp,Etoshine 60,10 tab * 5 stp * box,Etoricoxib
3,01/1/2015,291,1,stp,Myonal,10 tab * 3 stp * box,Eperisone Hydrochloride
3,01/1/2015,237,1,stp,Brumox 250,10 cap * 10 stp * box,Amoxicillin
3,01/1/2015,547,1,stp,PadTetra,10 cap * 10 stp * box,Tetracycline
6,01/1/2015,431,1,bot,??????????,12 bot * dz,Myanmar Analgesic
6,01/1/2015,162,1,bot,Cevit Pol,100 tab * bot,ascorbic acid
9,02/1/2015,179,1,stp,Panzo D,10 cap * 10 stp * box,Pantoprazole and Domperidone
9,02/1/2015,195,2,stp,Sporidex 500,10 cap * 10 stp * box,Cephalexin
9,02/1/2015,22,3,stp,Amlosun 5,10 tab * 10 stp * box,Amlodipine
9,02/1/2015,154,3,stp,Neurobion Blue,10 tab * 10 stp * box,"B1, B6, B12"
9,02/1/2015,75,60,tab,Centrum Silver,285 tab * bot,Multivitamins and Minerals
9,02/1/2015,206,2,stp,Bronchest,10 tab * 50 stp * box,Cough Tablet
9,02/1/2015,170,40,tab,Ribovit,100 tab * bot,Riboflavin
9,02/1/2015,162,1,bot,Cevit Pol,100 tab * bot,ascorbic acid
9,02/1/2015,544,1,stp,Norgetex,10 tab * stp,Orphenadrine and Paracetamol
9,02/1/2015,220,2,tab,Vicks,105 tab * bot,Cough Tablet
12,02/1/2015,598,1,box,25% Glucose Zedi,5 amp * box,Glucose inj
12,02/1/2015,600,1,box,b12 inj (FBC),10 amp * box,b12
12,02/1/2015,599,1,box,b6 inj (FBC),10 amp * box,b6
12,02/1/2015,306,4,stp,Digene,12 tab * 90 stp * box,Aluminium Hydroxide
12,02/1/2015,601,1,box,Burmeton Thai inj,10 amp * box,Burmeton
12,02/1/2015,535,1,stp,Brulexin 500,10 cap * 10 stp * box,Cephalexin
12,02/1/2015,208,4,stp,Solvin Tablet,10 tab * 10 stp * box,Bromhexine
12,02/1/2015,302,3,stp,Loratidine We Care,10 tab * 10 stp * box,Loratadine
12,02/1/2015,370,3,sac,ORS MPF Green,50 sac * box,ORS
12,02/1/2015,602,5,amp,Buscopan inj,10 amp * box,Hyoscine Butylbromide
12,02/1/2015,205,3,stp,Sofkof,10 cap * 10 stp * box,Cough tablet with Chlopheniramine 
12,02/1/2015,182,2,stp,Umetac 150,10 tab * 10 stp * box,Ranitidine
12,02/1/2015,229,1,stp,Metro-250(Umedica),10 tab * 10 stp * box,Metronidazole
12,02/1/2015,603,5,amp,Stemetil inj,12 amp * box,prochlorperazine mesylate
12,02/1/2015,604,1,bot,Depo M,bot,Depo
12,02/1/2015,573,1,pcs,Elite Strip,50 pcs * box,Strip
12,02/1/2015,605,17,pcs,Needle 21G,100 pcs * box,Needle
15,02/1/2015,413,1,bot,????? ??????????,10 bot * pack,Myanmar Ear Drop
15,02/1/2015,74,1,stp,Oramin G,5 cap * 6 stp * box,Multivitamins and Minerals
15,02/1/2015,57,5,tab,Enervon-C 100's,100 tab * bot,B complex with C
15,02/1/2015,17,1,stp,Vitacap,10 cap * 5 stp * box,Multivitamins and Minerals
15,02/1/2015,217,5,stp,Mixagrip,4 tab * 25 stp * box,Paracetamol
15,02/1/2015,302,1,stp,Loratidine We Care,10 tab * 10 stp * box,Loratadine
15,02/1/2015,265,1,stp,Dimenhydrinate,10 tab * 100 stp * box,Dimenhydrinate
15,02/1/2015,20,1,stp,iiCare,10 cap * 3 stp * box,Eye 
15,02/1/2015,152,1,stp,Betex,10 tab * 25 stp * box,"B1, B6, B12"
15,02/1/2015,57,10,tab,Enervon-C 100's,100 tab * bot,B complex with C
15,02/1/2015,260,2,stp,Lensen Tab,10 tab * 10 stp * box,Paracetamol
15,02/1/2015,91,2,stp,Enam 5,10 tab * 10 stp * box,Enalapril 
15,02/1/2015,166,1,bot,Folic Acid bpi,100 tab * bot,folic Acid
15,02/1/2015,167,1,bot,Furamine BC,100 tab * bot,Ferrous Fumarate
15,02/1/2015,153,3,stp,Neurion,10 tab * 100 stp * box,"B1, B6, B12"
15,02/1/2015,66,3,stp,Becozinc Cap,10 cap * 3 stp * box,Multivitamins and Minerals
15,02/1/2015,89,2,stp,Cardiopril 2.5,10 tab * 10 stp * box,Ramipril
15,02/1/2015,111,2,stp,Clopilet,10 tab * 3 stp * box,Clopidogrel
15,02/1/2015,127,3,stp,Rozavel 5,10 tab * 5 stp * box,Rosuvastatin
15,02/1/2015,84,3,stp,Cardivas 3.125,10 tab * 3 stp * box,Carvedilol
15,02/1/2015,152,3,stp,Betex,10 tab * 25 stp * box,"B1, B6, B12"
15,02/1/2015,440,1,bot,???????????? ??????? ??????,6 bot * 2 pack * dz,Myanmar Analgesic
15,02/1/2015,354,2,pcs,Urgo Plaster Transparent,100 pcs * box,Plaster
15,02/1/2015,365,1,roll,"2"" Bandage Pyae Wa",10 roll * pack,Bandage
15,02/1/2015,301,1,stp,Cetrine,10 tab * 10 stp * box,Cetrizine
15,02/1/2015,616,1,box,Gentamycin Inj(FBC),10 amp * box,Gentamycin
15,02/1/2015,617,2,amp,Gentamycin Taiwan inj,50 amp * box,Gentamycin
15,02/1/2015,282,2,stp,Denzo,10 tab * stp,Serratio-Peptidase 5mg
15,02/1/2015,455,2,bot,???????? ????????,12 bot * dz,Myanmar Supplement
15,02/1/2015,126,1,stp,Aztor 10,10 tab * 5 stp * box,Atorvastatin
15,02/1/2015,549,4,sac,Mybacin Pack,70 sac * pack,Lozenges
7,02/1/2015,170,1,bot,Ribovit,100 tab * bot,Riboflavin
7,02/1/2015,552,1,stp,DMR 30,30 tab * 2 stp * box,Gliclazide
8,02/1/2015,64,1,stp,Magnese Denk,10 cap * 5 stp * box,Magnesium
8,02/1/2015,555,1,stp,Ferofort,10 cap * 10 stp * box,Multivitamins and Minerals
8,02/1/2015,142,2,stp,Reclide mr 60,10 tab * 10 stp * box,Gliclazide
8,02/1/2015,149,1,stp,Metformin denk 850,15 tab * 8 stp * box,Metformin 
10,02/1/2015,75,30,tab,Centrum Silver,285 tab * bot,Multivitamins and Minerals
10,02/1/2015,362,1,bot,Spirit 100ml Plastic bot mpf,60 bot * box,Spirit
10,02/1/2015,366,1,roll,"3"" Bandage Pyae Wa",10 roll * pack,Bandage
10,02/1/2015,73,1,stp,Oramin F,5 cap * 6 stp * box,Multivitamins and Minerals
10,02/1/2015,74,1,stp,Oramin G,5 cap * 6 stp * box,Multivitamins and Minerals
10,02/1/2015,114,1,stp,Arthrostop,10 tab * 6 stp * box,Glucosamine
10,02/1/2015,164,1,bot,Burmeton pol,100 tab * bot,Chlorphenamine Maleate
10,02/1/2015,42,1,bot,Arcalion,30 tab * bot,sulbutiamine
10,02/1/2015,18,3,stp,Supravit,10 tab * 10 stp * box,Multivitamins and Minerals
10,02/1/2015,170,1,bot,Ribovit,100 tab * bot,Riboflavin
11,02/1/2015,472,1,tube,Gentalene C ,12 tube * box,"Betamethasone Dipropionate, Gentamycin, Clotrimoxazole"
13,02/1/2015,606,2,Vial,Dexacort inj,24 Vial * box,Dexamethasone
14,02/1/2015,232,2,stp,Flumox Cap,10 cap * 10 stp * box,Amoxicillin and Flucloxacillin
16,02/1/2015,155,1,stp,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
16,02/1/2015,220,1,tab,Vicks,105 tab * bot,Cough Tablet
17,02/1/2015,554,2,tube,Trinpac Gel,tube,Erythromycin Gel
18,03/1/2015,591,5,sheet,Counter Plaster,100 sheet * box,Plaster
18,03/1/2015,168,1,bot,Gelmag Pol ????,50 tab * bot,Magnesium Trisilicate
19,03/1/2015,388,1,bot,????????? ?????? ???,6 bot * 2 pack * dz,Myanmar Digestive
20,03/1/2015,364,5,tab,Move Free,170 tab * bot,Glucosamine
20,03/1/2015,21,5,cap,Optica,30 cap * bot,Eye
20,03/1/2015,352,3,pcs,Hansaplast Elastic,100 pcs * box,Plaster
20,03/1/2015,641,1,stp,Allopurinol bpi strip,10 tab * 10 stp * box,Allopurinol
20,03/1/2015,220,3,tab,Vicks,105 tab * bot,Cough Tablet
21,03/1/2015,388,2,bot,????????? ?????? ???,6 bot * 2 pack * dz,Myanmar Digestive
22,03/1/2015,75,30,tab,Centrum Silver,285 tab * bot,Multivitamins and Minerals
24,03/1/2015,631,1,bot,bCoversyl 5,30 tab * bot,perindopril
24,03/1/2015,135,1,stp,Hypen SR,10 tab * 2 stp * box,Indapamide 1.5
24,03/1/2015,110,1,stp,Zeter,10 tab * 10 stp * box,Clopidogrel
24,03/1/2015,39,1,stp,Contiflo OD ,10 tab * stp,Tamsulosin Hydrochloride
24,03/1/2015,22,2,stp,Amlosun 5,10 tab * 10 stp * box,Amlodipine
24,03/1/2015,529,2,pcs,PaiPlast,100 pcs * box,Plaster
25,03/1/2015,155,2,stp,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
25,03/1/2015,529,2,pcs,PaiPlast,100 pcs * box,Plaster
27,03/1/2015,103,3,stp,Losar Denk 50,14 tab * 2 stp * box,Losartan Potassium
27,03/1/2015,86,2,stp,Cardivas 12.5,10 tab * 10 stp * box,Carvedilol
27,03/1/2015,24,3,stp,Stamlo 5,10 tab * 10 stp * box,Amlodipine
27,03/1/2015,348,90,cap,Mega 3 300's,300 cap * bot,Omega 3 Fish Oil
28,03/1/2015,232,1,stp,Flumox Cap,10 cap * 10 stp * box,Amoxicillin and Flucloxacillin
30,03/1/2015,447,1,sac,???????? ????,12 sac * pack,Myanmar anti-Inflammatory
30,03/1/2015,387,2,sac,????????? ?????? ????,10 sac * 12 pack * 2ndPack,Myanmar Digestive
30,03/1/2015,17,1,stp,Vitacap,10 cap * 5 stp * box,Multivitamins and Minerals
30,03/1/2015,239,2,stp,Brucillin 250,10 cap * 10 stp * box,Ampicillin
30,03/1/2015,164,40,tab,Burmeton pol,100 tab * bot,Chlorphenamine Maleate
30,03/1/2015,169,20,tab,Paracetamol Ygn,100 tab * bot,Paracetamol
31,03/1/2015,485,1,stp,Amor,2 tab * stp,levonorgestrel
33,03/1/2015,586,1,stp,Konidin Tab,4 tab * stp,Cough Tablet
33,03/1/2015,551,1,bot,??????? ???????????,12 bot * dz,Myanmar Luxative
33,03/1/2015,256,1,stp,Alaxan Tab,10 tab * 10 stp * box,Ibuprofen and Paracetamol
33,03/1/2015,265,6,stp,Dimenhydrinate,10 tab * 100 stp * box,Dimenhydrinate
33,03/1/2015,388,1,bot,????????? ?????? ???,6 bot * 2 pack * dz,Myanmar Digestive
33,03/1/2015,640,5,pack,Face Mask Hanma,10 pcs * 32 pack * box,Mask
33,03/1/2015,321,1,bot,Urocrush,60 tab * bot,For Renal Stones
33,03/1/2015,57,7,tab,Enervon-C 100's,100 tab * bot,B complex with C
33,03/1/2015,484,1,stp,ecee 2,2 tab * stp,levonorgestrel
33,03/1/2015,86,1,stp,Cardivas 12.5,10 tab * 10 stp * box,Carvedilol
33,03/1/2015,304,1,stp,Allercet,10 tab * 10 stp * box,Cetrizine
33,03/1/2015,47,1,stp,Oleanz 10,10 tab * 5 stp * box,Olanzapine 
33,03/1/2015,86,1,stp,Cardivas 12.5,10 tab * 10 stp * box,Carvedilol
33,03/1/2015,456,1,bot,??????????????,6 bot * 2 pack * dz,Myanmar Analgesic
33,03/1/2015,191,3,stp,Ermycin 200,10 tab * 10 stp * box,Erythromycin
33,03/1/2015,190,1,stp,Azithromycin 250 Sandoz,6 tab * stp,Azithromycin
33,03/1/2015,548,5,tab,Vertinil,10 tab * 20 stp * box,Cinnarizine
33,03/1/2015,409,2,sac,????????? ???????????,20 sac * pack,Myanmar Analgesic
33,03/1/2015,476,1,tube,Voltex Kool,12 tube * pack,cream
33,03/1/2015,375,1,pack,Tiger Balm Plaster Cool 10cm x 14cm,3 sheet * 12 pack * box,Plaster
33,03/1/2015,395,1,bot,????????????? ?????????????????,10 bot * pack,Myanmar Cough Medicine
33,03/1/2015,206,1,stp,Bronchest,10 tab * 50 stp * box,Cough Tablet
33,03/1/2015,256,1,stp,Alaxan Tab,10 tab * 10 stp * box,Ibuprofen and Paracetamol
33,03/1/2015,155,1,stp,Vit B Denk,10 tab * 10 stp * box,"B1, B6"
33,03/1/2015,655,1,pcs,Wound Plast,100 pcs * box,Plaster
33,03/1/2015,166,1,bot,Folic Acid bpi,100 tab * bot,folic Acid
33,03/1/2015,339,1,bot,Dexoptic N,bot,Eye Drop
33,03/1/2015,213,2,stp,Decolgen Forte,10 tab * 10 stp * box,Acetaminophen
34,03/1/2015,125,1,stp,Atocor 10,10 tab * 10 stp * box,Atorvastatin
34,03/1/2015,656,1,stp,Sedacoron,10 tab * stp,amiodarone
29,03/1/2015,254,1,stp,Coxib 100,10 tab * 3 stp * box,Celecoxib
29,03/1/2015,260,1,stp,Lensen Tab,10 tab * 10 stp * box,Paracetamol
29,03/1/2015,261,1,stp,Biogesic Tab,10 tab * 50 stp * box,Paracetamol
29,03/1/2015,257,1,stp,Alaxan Fr,10 cap * 10 stp * box,Ibuprofen and Paracetamol
29,03/1/2015,42,1,bot,Arcalion,30 tab * bot,sulbutiamine
32,03/1/2015,57,1,bot,Enervon-C 100's,100 tab * bot,B complex with C
35,03/1/2015,162,1,bot,Cevit Pol,100 tab * bot,ascorbic acid
23,03/1/2015,235,2,stp,Uciclox 500,10 cap * 10 stp * box,Ampicillin and Cloxacillin
23,03/1/2015,229,2,stp,Metro-250(Umedica),10 tab * 10 stp * box,Metronidazole
23,03/1/2015,636,1,roll,Cotton Roll Diamond,roll,Cotton
23,03/1/2015,362,1,bot,Spirit 100ml Plastic bot mpf,60 bot * box,Spirit
26,03/1/2015,608,4,amp,Alinamin F inj ????,10 amp * box,B Complex
26,03/1/2015,530,1,bot,S2 Drip (Pai) ,bot,Drip
26,03/1/2015,630,1,stp,S2 IV (Zedi),5 amp * stp,Multivitamins and Minerals
26,03/1/2015,625,4,amp,Nootropil 3gm inj,4 amp * stp,Piracetam
26,03/1/2015,616,2,box,Gentamycin Inj(FBC),10 amp * box,Gentamycin
26,03/1/2015,623,2,stp,Analgin inj,10 amp * stp,Analgin
26,03/1/2015,599,2,box,b6 inj (FBC),10 amp * box,b6
26,03/1/2015,606,4,Vial,Dexacort inj,24 Vial * box,Dexamethasone
26,03/1/2015,618,2,Vial,Hydrocort (Belco) inj,10 Vial * box,Hydrocortisone
26,03/1/2015,619,2,box,Hydrocortisone (Huayi) inj,10 amp * box,Hydrocortisone
26,03/1/2015,600,2,box,b12 inj (FBC),10 amp * box,b12
26,03/1/2015,174,2,stp,Zosec,10 cap * 10 stp * box,Omeprazole
26,03/1/2015,620,1,stp,Umeran inj,10 amp * stp,Diclofenac
26,03/1/2015,621,1,stp,Umetac inj,10 amp * stp,Ranitidine
26,03/1/2015,182,2,stp,Umetac 150,10 tab * 10 stp * box,Ranitidine
26,03/1/2015,185,2,stp,Enzyplex,4 tab * 25 stp * box,Digestive Enzyme
26,03/1/2015,609,10,amp,Polybion inj,10 amp * 10 stp * box,B Complex
26,03/1/2015,624,2,stp,Bisolvin China inj,10 amp * stp,Bromhexine
26,03/1/2015,629,1,stp,Multivita inj,5 amp * stp,Multivitamins
26,03/1/2015,601,1,box,Burmeton Thai inj,10 amp * box,Burmeton
26,03/1/2015,610,1,box,B Complex Inj(Zedi),10 amp * box,B Complex
26,03/1/2015,598,1,box,25% Glucose Zedi,5 amp * box,Glucose inj
26,03/1/2015,602,5,amp,Buscopan inj,10 amp * box,Hyoscine Butylbromide
26,03/1/2015,255,1,box,Diclo-M,10 tab * 20 stp * box,Paracetamol and Diclofenac
26,03/1/2015,542,4,stp,Ciproxin 500 (Umedica),10 tab * 10 stp * box,Ciprofloxacin
26,03/1/2015,328,10,pcs,Butterfly Needle Hanako ????,100 pcs * box,Butterfly Needle
26,03/1/2015,324,10,pcs,20 cc (JY) Syringe,50 pcs * box,Syringe
26,03/1/2015,325,10,pcs,5 cc (JY) Syringe,100 pcs * box,Syringe
26,03/1/2015,326,10,pcs,3 cc (JY) Syringe,120 pcs * box,Syringe
26,03/1/2015,154,1,box,Neurobion Blue,10 tab * 10 stp * box,"B1, B6, B12"
26,03/1/2015,153,5,stp,Neurion,10 tab * 100 stp * box,"B1, B6, B12"
26,03/1/2015,25,5,stp,ccb 5,10 tab * 5 stp * box,Amlodipine
26,03/1/2015,514,1,bot,V.Rohto,bot,Eye Drop
43,05/1/2015,590,10,sheet,Lion Plaster,10 sheet * pack,Plaster
43,05/1/2015,185,15,stp,Enzyplex,4 tab * 25 stp * box,Digestive Enzyme
43,05/1/2015,360,1,stp,Degirol,4 tab * 25 stp * box,Lozenges
46,05/1/2015,213,1,stp,Decolgen Forte,10 tab * 10 stp * box,Acetaminophen
49,05/1/2015,360,2,stp,Degirol,4 tab * 25 stp * box,Lozenges
49,05/1/2015,175,1,stp,Pantocid 20,10 tab * 10 stp * box,Pantoprazole
49,05/1/2015,64,3,stp,Magnese Denk,10 cap * 5 stp * box,Magnesium
49,05/1/2015,354,2,pcs,Urgo Plaster Transparent,100 pcs * box,Plaster
63,05/1/2015,519,1,bot,Betadine Sol,bot,Povidone Iodine
52,05/1/2015,14,1,box,Livolin Forte,10 cap * 3 stp * box,Liver Protect
52,05/1/2015,57,10,tab,Enervon-C 100's,100 tab * bot,B complex with C
52,05/1/2015,175,1,stp,Pantocid 20,10 tab * 10 stp * box,Pantoprazole
52,05/1/2015,354,2,pcs,Urgo Plaster Transparent,100 pcs * box,Plaster
55,05/1/2015,174,1,stp,Zosec,10 cap * 10 stp * box,Omeprazole
55,05/1/2015,174,1,stp,Zosec,10 cap * 10 stp * box,Omeprazole
36,05/1/2015,98,2,stp,Losar 25,10 tab * 10 stp * box,Losartan Potassium
37,05/1/2015,433,1,bot,???????? ????????????? ??????????,10 bot * pack,Myanmar Hypertension
37,05/1/2015,220,2,tab,Vicks,105 tab * bot,Cough Tablet
38,05/1/2015,435,2,bot,??????????(????????) ????????,12 bot * dz,Myanmar Balm
38,05/1/2015,375,2,pack,Tiger Balm Plaster Cool 10cm x 14cm,3 sheet * 12 pack * box,Plaster
38,05/1/2015,214,1,stp,Decolgen Cold and Flu,10 tab * 10 stp * box,Paracetamol
38,05/1/2015,220,24,tab,Vicks,105 tab * bot,Cough Tablet
38,05/1/2015,256,1,stp,Alaxan Tab,10 tab * 10 stp * box,Ibuprofen and Paracetamol
38,05/1/2015,99,1,stp,Losar 50,10 tab * 10 stp * box,Losartan Potassium
38,05/1/2015,304,1,stp,Allercet,10 tab * 10 stp * box,Cetrizine
39,05/1/2015,22,2,stp,Amlosun 5,10 tab * 10 stp * box,Amlodipine
39,05/1/2015,655,2,pcs,Wound Plast,100 pcs * box,Plaster
39,05/1/2015,232,3,stp,Flumox Cap,10 cap * 10 stp * box,Amoxicillin and Flucloxacillin
39,05/1/2015,220,2,tab,Vicks,105 tab * bot,Cough Tablet
39,05/1/2015,374,1,stp,Obelit,10 cap * stp,Orlistat
39,05/1/2015,173,2,stp,Omez,10 cap * 10 stp * box,Omeprazole
40,05/1/2015,173,1,stp,Omez,10 cap * 10 stp * box,Omeprazole
40,05/1/2015,655,1,pcs,Wound Plast,100 pcs * box,Plaster
40,05/1/2015,307,1,stp,Siloxogene,10 tab * 30 stp * box,Aluminium Hydroxide
41,05/1/2015,435,1,bot,??????????(????????) ????????,12 bot * dz,Myanmar Balm
42,05/1/2015,267,1,stp,Dramamine ????,10 tab * 10 stp * box,Dimenhydrinate
44,05/1/2015,266,1,stp,Stugeron,10 tab * 25 stp * box,Cinnarizine
44,05/1/2015,359,1,box,Shudi Plaster,10 pcs * box,Plaster
45,05/1/2015,258,2,stp,Gofen ,10 cap * 5 stp * box,Ibuprofen 400
47,05/1/2015,232,1,stp,Flumox Cap,10 cap * 10 stp * box,Amoxicillin and Flucloxacillin
47,05/1/2015,205,1,stp,Sofkof,10 cap * 10 stp * box,Cough tablet with Chlopheniramine 
47,05/1/2015,549,1,sac,Mybacin Pack,70 sac * pack,Lozenges
48,05/1/2015,420,1,bot,????? ?????????? ?????????,12 bot * pack,Myanmar Heart Supplement
50,05/1/2015,262,1,stp,Avamigran,10 tab * stp,Ergotamine Tartrate 1mg & Caffeine 100mg
50,05/1/2015,310,166,tab,MOM 1000's Thai,1000 tab * bot,Milk of Magnesia
50,05/1/2015,548,5,stp,Vertinil,10 tab * 20 stp * box,Cinnarizine
50,05/1/2015,606,3,Vial,Dexacort inj,24 Vial * box,Dexamethasone
50,05/1/2015,327,16,pcs,5 cc (Hanako) Syringe,100 pcs * box,Syringe
50,05/1/2015,90,1,stp,Cardiopril 5,10 tab * 10 stp * box,Ramipril
